title,genre,release_year,budget_mln,revenue_mln,rating_imdb,runtime_min,vote_count
Movie_0053,Horror,2004,47.61,252.31,4.9,116,12763
Movie_0054,Thriller,2009,37.46,21.62,4.9,93,4867
Movie_0055,Horror,2009,36.67,354.28,7.3,92,370
Movie_0056,Animation,2018,118.39,256.76,3.4,103,2222
Movie_0057,Action,2016,115.29,,9.7,100,14619
Movie_0058,Drama,2020,31.55,166.07,6.9,127,2759
Movie_0059,Sci-Fi,2013,143.07,92.09,6.3,108,6340
Movie_0060,Drama,2008,33.45,24.36,5.6,90,1848
Movie_0061,Thriller,2013,115.84,116.07,6.3,142,636
Movie_0062,Sci-Fi,2000,117.02,131.71,6.6,105,2477
Movie_0063,Action,2018,141.07,102.43,6.8,120,4738
Movie_0064,Thriller,2012,37.23,194.25,6.3,92,1114
Movie_0065,Comedy,2012,94.94,123.74,6.0,112,2093
Movie_0066,Horror,2003,8.73,17.46,5.3,111,728
Movie_0067,Action,2000,337.91,370.68,6.7,70,15976
Movie_0068,Horror,2016,14.53,4.13,5.3,145,1916
Movie_0069,Romance,2007,7.96,19.22,6.9,130,26347
Movie_0070,Comedy,2001,33.24,10.37,6.3,97,29528
Movie_0071,Comedy,2007,,9.17,2.0,82,2639
Movie_0072,Action,2006,156.73,86.91,6.9,111,656
Movie_0073,Comedy,2001,17.8,169.79,5.8,106,130
Movie_0074,Sci-Fi,2021,69.98,251.44,5.8,112,327
Movie_0075,Comedy,2021,6.62,10.12,5.1,108,379
Movie_0076,Horror,2002,10.45,61.68,6.9,115,23569
Movie_0077,Horror,2017,2.16,1.84,6.6,133,3546
Movie_0078,Thriller,2011,11.27,23.31,4.6,116,5347
Movie_0079,Horror,2000,27.56,55.29,6.1,84,106
Movie_0080,Thriller,2021,75.0,121.12,4.6,132,494
Movie_0081,Horror,2011,21.08,71.53,3.9,137,11278
Movie_0082,Sci-Fi,2004,46.14,,4.9,168,4583
Movie_0083,Animation,2016,86.63,212.42,6.9,82,2390
Movie_0084,Thriller,2015,39.88,16.81,6.8,109,6955
Movie_0085,Drama,2014,7.92,5.64,6.1,70,34672
Movie_0086,Romance,2022,83.23,137.27,6.7,116,2139
Movie_0087,Action,2014,161.4,326.35,6.8,94,3307
Movie_0088,Horror,2004,12.57,5.97,4.8,143,3979
Movie_0089,Comedy,2020,30.65,453.24,6.1,89,107814
Movie_0090,Animation,2013,106.33,787.59,6.9,71,127
Movie_0091,Horror,2001,2.93,8.88,6.4,95,8306
Movie_0092,Comedy,2010,24.62,50.71,7.0,70,2509
Movie_0093,Romance,2018,14.49,21.07,6.4,120,6975
Movie_0094,Romance,2006,11.22,7.81,6.0,70,1112
Movie_0095,Romance,2005,,40.38,6.9,105,2769
Movie_0096,Comedy,2001,126.39,261.63,6.0,70,8665
Movie_0097,Horror,2005,25.05,10.22,4.5,98,317859
Movie_0098,Romance,2017,15.83,31.54,5.4,137,10017
Movie_0099,Sci-Fi,2001,158.1,197.9,5.2,112,835
Movie_0100,Thriller,2017,,31.32,5.2,87,1578
Movie_0101,Comedy,2014,62.86,,5.6,104,1510
Movie_0102,Comedy,2018,31.47,27.86,4.7,105,201
Movie_0103,Horror,2001,8.94,69.39,5.2,114,1816
Movie_0104,Comedy,2019,52.45,81.75,3.4,77,8948
Movie_0105,Comedy,2005,41.1,,5.9,116,440
Movie_0106,Romance,2000,51.16,124.24,5.7,70,14367
Movie_0107,Horror,2023,24.93,7.86,4.6,92,6196
Movie_0108,Romance,2014,,274.91,6.5,95,990
Movie_0109,Thriller,2022,26.07,31.54,6.7,117,2410
Movie_0110,Animation,2009,258.2,300.23,4.6,105,32777
Movie_0111,Thriller,2018,46.85,202.6,4.8,76,8958
Movie_0112,Animation,2016,473.44,264.31,6.5,85,3020
Movie_0113,Romance,2004,14.4,4.99,4.4,108,2086
Movie_0114,Thriller,2003,160.4,186.04,7.1,103,3343
Movie_0115,Horror,2009,17.57,65.62,5.3,93,1383
Movie_0116,Action,2023,47.51,17.87,5.4,95,126
Movie_0117,Romance,2016,16.98,,3.2,118,63784
Movie_0118,Animation,2009,69.65,83.42,6.5,94,3763
Movie_0119,Sci-Fi,2016,140.4,289.98,4.6,103,5416
Movie_0120,Animation,2019,136.74,677.18,6.1,148,2732
Movie_0121,Sci-Fi,2023,63.19,69.65,6.1,76,989
Movie_0122,Comedy,2004,29.42,40.48,7.3,70,2255
Movie_0123,Thriller,2001,,830.22,4.8,120,270
Movie_0124,Sci-Fi,2005,398.3,70.58,3.5,91,90728
Movie_0125,Animation,2020,127.6,154.0,6.2,98,467
Movie_0126,Comedy,2001,30.93,78.52,,89,634
Movie_0127,Action,2012,88.06,266.08,7.3,99,1540
Movie_0128,Horror,2010,24.5,24.89,5.8,136,20580
Movie_0129,Horror,2010,6.62,9.26,4.9,121,3046
Movie_0130,Horror,2015,12.21,2.33,6.5,122,466
Movie_0131,Sci-Fi,2010,26.32,17.74,4.4,76,19565
Movie_0132,Action,2018,110.1,296.32,6.5,81,8924
Movie_0133,Sci-Fi,2014,167.83,129.12,6.8,70,6685
Movie_0134,Thriller,2022,27.18,54.19,6.9,88,8721
Movie_0135,Sci-Fi,2022,352.26,1447.18,10.0,124,108179
Movie_0136,Action,2015,30.01,36.9,6.1,115,79034
Movie_0137,Action,2010,24.79,39.62,5.0,100,1064
Movie_0138,Thriller,2021,47.87,31.31,5.7,104,34058
Movie_0139,Action,2015,184.88,173.65,4.1,91,5296
Movie_0140,Animation,2007,346.18,996.87,6.1,109,6302
Movie_0141,Action,2003,55.42,91.74,5.2,120,235
Movie_0142,Horror,2007,35.55,28.89,5.0,72,2308
Movie_0143,Animation,2003,87.27,176.99,6.0,110,880
Movie_0144,Animation,2023,78.39,,4.8,123,10322
Movie_0145,Thriller,2002,81.11,25.25,7.2,96,14862
Movie_0146,Drama,2002,33.7,148.12,5.6,119,132
Movie_0147,Drama,2017,5.67,6.34,5.5,161,2884
Movie_0148,Action,2018,260.67,645.98,6.1,102,16039
Movie_0149,Animation,2018,271.48,1483.95,6.8,112,2252
Movie_0150,Drama,2020,12.13,,6.5,90,8898
Movie_0151,Drama,2004,27.45,18.2,4.6,108,5048
Movie_0152,Action,2017,118.78,130.53,5.2,114,4976
Movie_0153,Drama,2009,24.64,17.5,5.2,108,1984
Movie_0154,Sci-Fi,2021,64.39,349.29,4.1,84,480
Movie_0155,Comedy,2020,17.53,10.22,4.6,109,554
Movie_0156,Thriller,2005,39.19,33.22,5.1,134,8638
Movie_0157,Comedy,2000,76.66,173.59,6.9,113,3069
Movie_0158,Action,2004,123.58,,6.3,124,2421
Movie_0159,Horror,2008,11.15,12.4,5.8,100,1578
Movie_0160,Thriller,2011,74.16,184.88,6.8,119,1886
Movie_0161,Action,2013,,8.96,5.4,110,14333
Movie_0162,Animation,2001,225.61,391.63,6.9,85,1802
Movie_0163,Horror,2016,3.73,3.43,,111,398
Movie_0164,Comedy,2013,22.45,9.33,5.9,85,9094
Movie_0165,Action,2012,,59.12,,92,2192
Movie_0166,Animation,2008,31.95,115.06,2.7,108,3124
Movie_0167,Thriller,2014,101.24,162.47,5.7,110,33235
Movie_0168,Thriller,2021,27.51,67.76,7.3,81,2890
Movie_0169,Romance,2014,32.99,114.02,6.7,126,4599
Movie_0170,Animation,2023,86.68,53.24,7.0,116,508
Movie_0171,Sci-Fi,2010,146.47,1410.07,7.6,90,2144
Movie_0172,Drama,2015,21.27,39.9,5.7,74,7437
Movie_0173,Horror,2016,5.37,36.94,5.8,102,289
Movie_0174,Animation,2003,199.7,157.67,5.6,96,4028
Movie_0175,Romance,2000,16.84,123.31,5.2,107,3467
Movie_0176,Drama,2007,5.76,19.9,6.3,97,3171
Movie_0177,Drama,2016,14.2,44.94,7.0,70,14125
Movie_0178,Action,2002,265.77,576.59,6.4,97,4922
Movie_0179,Drama,2019,39.48,44.4,5.1,98,27367
Movie_0180,Sci-Fi,2014,75.66,355.45,5.8,117,671
Movie_0181,Thriller,2014,30.25,59.82,6.3,91,3655
Movie_0182,Romance,2023,19.33,3.48,3.8,138,3383
Movie_0183,Drama,2021,105.33,33.53,3.2,70,599
Movie_0184,Action,2013,108.59,133.13,5.3,131,12511
Movie_0185,Sci-Fi,2022,141.06,235.65,4.6,100,97441
Movie_0186,Comedy,2013,,92.24,5.2,122,2905
Movie_0187,Thriller,2023,48.42,219.85,5.5,106,6358
Movie_0188,Thriller,2001,32.51,,5.1,127,3383
Movie_0189,Romance,2012,21.37,48.96,7.3,97,1022
Movie_0190,Thriller,2013,37.77,12.21,6.0,83,194
Movie_0191,Drama,2023,19.41,62.76,5.9,133,1034
Movie_0192,Action,2018,143.18,246.44,6.8,102,369
Movie_0193,Thriller,2006,41.7,71.88,4.3,109,38413
Movie_0194,Thriller,2002,71.88,63.85,7.0,129,2508
Movie_0195,Comedy,2014,28.12,134.97,5.5,84,1774
Movie_0196,Comedy,2022,31.95,144.21,6.4,116,11313
Movie_0197,Horror,2013,3.03,5.95,4.2,93,554
Movie_0198,Sci-Fi,2010,208.14,227.43,4.5,102,943
Movie_0199,Drama,2014,26.39,80.49,6.6,106,3301
Movie_0200,Thriller,2012,88.88,,6.3,74,13948
Movie_0201,Animation,2017,8.87,23.44,4.5,89,6326
Movie_0202,Thriller,2005,212.64,1368.36,5.3,132,4326
Movie_0203,Action,2002,71.55,367.75,7.1,122,3351
Movie_0204,Horror,2018,36.4,21.88,4.2,103,5433
Movie_0205,Sci-Fi,2014,43.52,126.58,7.6,109,4033
Movie_0206,Animation,2022,146.94,,5.0,99,635
Movie_0207,Horror,2004,6.46,18.69,,132,3194
Movie_0208,Romance,2009,15.18,32.32,5.2,100,595
Movie_0209,Sci-Fi,2006,462.38,190.64,8.1,109,3366
Movie_0210,Thriller,2016,34.34,16.53,5.0,127,1449
Movie_0211,Thriller,2006,47.6,55.71,5.5,89,134466
Movie_0212,Sci-Fi,2021,200.58,267.03,6.4,136,2807
Movie_0213,Thriller,2011,59.47,24.95,4.5,74,362
Movie_0214,Drama,2016,22.56,57.0,6.5,137,2437
Movie_0215,Sci-Fi,2012,133.91,250.07,5.4,97,6496
Movie_0216,Horror,2019,102.59,133.4,5.6,100,36682
Movie_0217,Sci-Fi,2003,95.5,62.32,4.7,70,1231
Movie_0218,Animation,2009,105.71,212.6,2.8,95,277
Movie_0219,Thriller,2002,92.7,,5.6,84,10150
Movie_0220,Drama,2008,48.43,73.97,8.6,92,375
Movie_0221,Drama,2012,51.69,54.44,6.6,102,1549
Movie_0222,Romance,2017,41.67,100.56,5.6,124,2025
Movie_0223,Horror,2014,6.01,6.23,5.2,109,2685
Movie_0224,Comedy,2003,110.82,160.38,6.0,111,8381
Movie_0225,Comedy,2014,11.99,39.78,6.2,83,1069
Movie_0226,Sci-Fi,2021,127.39,28.83,4.6,87,1977
Movie_0227,Romance,2001,13.67,84.82,6.9,140,2917
Movie_0228,Action,2014,76.0,148.54,6.7,90,3730
Movie_0229,Sci-Fi,2007,130.08,169.87,6.9,138,3452
Movie_0230,Romance,2007,,50.46,6.2,100,5733
Movie_0231,Horror,2016,,31.32,5.6,105,10569
Movie_0232,Horror,2011,54.54,20.59,,126,5371
Movie_0233,Horror,2018,21.56,143.24,6.3,130,5886
Movie_0234,Horror,2009,12.34,,5.1,102,277
Movie_0235,Horror,2008,32.44,65.62,4.9,97,3214
Movie_0236,Romance,2004,,246.37,5.9,103,6119
Movie_0237,Romance,2005,9.36,7.59,7.4,111,8896
Movie_0238,Drama,2019,32.25,56.22,4.1,122,1055
Movie_0239,Animation,2001,157.71,148.83,4.4,105,1109
Movie_0240,Comedy,2023,23.64,80.64,5.8,117,1259
Movie_0241,Thriller,2012,120.23,29.43,6.0,137,6664
Movie_0242,Horror,2005,13.3,19.26,5.8,112,14056
Movie_0243,Action,2004,88.45,86.84,6.1,111,1617
Movie_0244,Thriller,2000,34.83,75.85,5.4,74,11636
Movie_0245,Romance,2020,25.31,78.46,7.4,70,3587
Movie_0246,Action,2021,33.28,17.96,3.7,112,2473
Movie_0247,Action,2020,25.28,16.86,4.6,103,2170
Movie_0248,Action,2005,,464.73,6.5,94,9135
Movie_0249,Drama,2005,10.16,4.44,3.6,109,4857
Movie_0250,Romance,2022,11.31,35.37,5.3,103,90557
Movie_0251,Action,2015,14.29,21.26,7.6,127,830
Movie_0252,Horror,2003,9.0,1.0,5.6,106,6484
Movie_0253,Sci-Fi,2010,34.7,40.25,5.9,90,1347
Movie_0254,Action,2023,297.57,166.27,5.2,124,809
Movie_0255,Drama,2022,44.86,14.03,4.9,100,2932
Movie_0256,Thriller,2008,23.07,10.7,5.1,115,3662
Movie_0257,Romance,2022,151.54,263.05,5.7,95,237342
Movie_0258,Animation,2002,,1403.73,7.8,92,2261
Movie_0259,Drama,2018,15.42,35.01,6.2,106,547
Movie_0260,Action,2007,10.83,7.26,4.2,105,4489
Movie_0261,Romance,2004,156.28,415.61,6.4,114,132
Movie_0262,Sci-Fi,2003,32.9,37.26,6.2,99,2596
Movie_0263,Action,2023,21.45,21.94,,70,3053
Movie_0264,Drama,2005,45.32,33.39,7.6,96,9817
Movie_0265,Comedy,2001,211.24,61.5,5.1,120,12841
Movie_0266,Horror,2019,45.4,41.35,,99,1400
Movie_0267,Animation,2010,141.31,203.96,4.6,100,2378
Movie_0268,Thriller,2003,64.37,88.81,5.5,124,944
Movie_0269,Drama,2014,39.59,,6.2,90,548
Movie_0270,Romance,2005,45.88,36.97,6.9,74,4744
Movie_0271,Animation,2021,112.7,313.73,5.9,101,441
Movie_0272,Animation,2016,97.82,45.25,5.5,95,1600
Movie_0273,Animation,2023,85.6,284.93,6.0,85,669
Movie_0274,Action,2005,43.77,22.8,4.7,101,6798
Movie_0275,Horror,2018,11.98,13.48,8.1,114,44451
Movie_0276,Action,2001,20.65,5.54,3.7,104,423
Movie_0277,Romance,2014,23.11,23.51,5.8,111,185
Movie_0278,Action,2010,36.28,193.59,8.1,141,2471
Movie_0279,Comedy,2007,12.41,30.14,5.6,98,3051
Movie_0280,Horror,2018,17.32,61.33,5.3,110,4138
Movie_0281,Horror,2012,45.68,105.51,5.3,94,1526
Movie_0282,Romance,2011,52.12,29.13,5.5,88,2206
Movie_0283,Thriller,2004,11.39,16.71,7.2,93,5173
Movie_0284,Comedy,2005,13.59,5.37,2.9,95,14195
Movie_0285,Drama,2021,42.45,290.13,7.5,112,158
Movie_0286,Action,2003,36.45,,3.9,151,1714
Movie_0287,Sci-Fi,2018,83.55,282.98,5.5,90,4108
Movie_0288,Action,2019,124.22,417.97,5.5,96,752
Movie_0289,Animation,2000,41.48,376.9,6.4,103,40004
Movie_0290,Action,2019,87.04,65.01,3.9,112,1149
Movie_0291,Drama,2016,6.88,21.83,6.1,110,2801
Movie_0292,Action,2011,49.45,860.79,8.1,130,6863
Movie_0293,Comedy,2014,38.75,24.54,4.0,70,1227
Movie_0294,Comedy,2000,8.39,3.34,5.8,70,186
Movie_0295,Horror,2013,21.34,5.17,4.8,95,1567
Movie_0296,Romance,2005,24.61,78.47,6.1,126,13962
Movie_0297,Thriller,2004,62.23,18.12,5.8,73,1798
Movie_0298,Sci-Fi,2010,119.62,122.46,5.2,70,837
Movie_0299,Animation,2003,268.04,781.42,7.2,116,11950
Movie_0300,Action,2012,88.43,230.19,8.0,109,1814
Movie_0301,Action,2010,,125.71,5.5,83,1386
Movie_0302,Drama,2002,22.06,47.76,6.5,85,3730
Movie_0303,Romance,2000,38.61,137.6,4.1,85,9472
Movie_0304,Comedy,2005,31.2,16.29,4.5,107,106145
Movie_0305,Sci-Fi,2017,103.3,100.02,6.5,92,10309
Movie_0306,Horror,2023,8.55,8.58,7.3,114,16979
Movie_0307,Comedy,2009,,61.41,6.0,70,1395
Movie_0308,Animation,2004,29.3,94.91,5.2,87,639
Movie_0309,Romance,2022,,246.81,5.9,82,3273
Movie_0310,Animation,2009,33.27,109.62,4.1,99,3500
Movie_0311,Thriller,2011,22.98,13.82,6.3,94,591
Movie_0312,Horror,2001,8.44,68.58,6.6,120,2291
Movie_0313,Thriller,2012,81.84,468.17,5.3,70,5426
Movie_0314,Drama,2007,,42.07,5.0,105,5118
Movie_0315,Animation,2001,244.2,2000.0,,116,6351
Movie_0316,Drama,2019,11.67,3.63,5.0,142,4612
Movie_0317,Action,2000,100.01,,5.8,95,1393
Movie_0318,Thriller,2004,20.5,23.55,,111,1379
Movie_0319,Romance,2008,139.07,421.36,5.8,70,493
Movie_0320,Animation,2016,34.8,19.36,5.2,70,43354
Movie_0321,Sci-Fi,2008,,364.48,5.2,121,3041
Movie_0322,Horror,2010,24.91,152.55,6.5,104,2127
Movie_0323,Comedy,2014,41.77,116.95,5.4,128,740
Movie_0324,Romance,2023,21.56,36.76,4.8,77,243649
Movie_0325,Romance,2005,22.53,18.26,7.2,115,595
Movie_0326,Drama,2022,,19.35,7.3,142,1566
Movie_0327,Thriller,2002,35.56,148.09,4.9,113,5562
Movie_0328,Animation,2016,194.59,435.48,4.0,110,7334
Movie_0329,Animation,2004,527.54,1234.33,8.8,105,12542
Movie_0330,Action,2011,51.22,47.18,4.9,73,44864
Movie_0331,Action,2017,26.74,7.78,6.6,132,6369
Movie_0332,Horror,2013,13.98,4.68,3.2,92,611
Movie_0333,Drama,2020,157.51,1741.08,7.2,115,2027
Movie_0334,Romance,2023,13.14,,4.1,73,4730
Movie_0335,Animation,2010,,839.47,7.7,81,66326
Movie_0336,Sci-Fi,2008,382.73,1835.41,7.0,133,366
Movie_0337,Drama,2001,12.84,5.03,4.4,98,18103
Movie_0338,Horror,2011,23.65,39.18,5.1,134,3904
Movie_0339,Horror,2002,55.19,230.84,6.5,103,10474
Movie_0340,Drama,2002,14.77,23.33,5.7,70,2558
Movie_0341,Horror,2000,12.75,289.44,6.3,122,842
Movie_0342,Drama,2007,12.56,6.09,7.9,93,9194
Movie_0343,Comedy,2021,13.32,34.9,3.7,118,7955
Movie_0344,Drama,2007,11.9,20.95,7.5,105,12811
Movie_0345,Thriller,2010,15.03,47.02,5.7,74,2922
Movie_0346,Drama,2008,20.55,37.84,4.5,108,1212
Movie_0347,Horror,2004,8.1,4.53,3.9,148,287
Movie_0348,Animation,2013,108.51,209.12,5.7,114,10188
Movie_0349,Thriller,2002,11.52,3.96,6.7,103,5629
Movie_0350,Horror,2020,19.55,50.15,5.4,126,700
Movie_0351,Action,2004,155.84,444.49,7.9,109,1328
Movie_0352,Action,2004,16.23,30.3,3.8,109,1480
Movie_0353,Animation,2018,121.4,516.22,6.0,83,322
Movie_0354,Animation,2013,240.31,455.83,5.0,109,874
Movie_0355,Thriller,2003,15.2,28.62,6.0,125,544
Movie_0356,Comedy,2012,114.35,99.84,7.0,88,1605
Movie_0357,Animation,2009,125.84,100.16,5.5,133,984
Movie_0358,Action,2017,45.51,93.05,2.6,103,259
Movie_0359,Drama,2007,19.13,111.33,5.8,87,61937
Movie_0360,Horror,2007,23.45,31.81,6.1,124,19512
Movie_0361,Action,2006,85.02,,,99,926
Movie_0362,Action,2007,123.1,112.03,7.5,120,4485
Movie_0363,Comedy,2013,14.36,48.45,4.3,99,5575
Movie_0364,Thriller,2018,45.8,148.89,6.5,103,17794
Movie_0365,Thriller,2005,12.91,,7.0,114,873
Movie_0366,Romance,2000,22.87,9.86,3.5,110,15339
Movie_0367,Comedy,2022,14.56,16.91,5.9,70,1310
Movie_0368,Drama,2014,11.1,18.56,4.9,82,401
Movie_0369,Thriller,2000,107.53,308.35,5.8,123,8832
Movie_0370,Horror,2016,35.91,,6.1,102,20663
Movie_0371,Animation,2000,146.51,100.96,5.5,94,144619
Movie_0372,Comedy,2014,12.52,36.04,4.7,77,492
Movie_0373,Animation,2022,69.87,213.86,5.8,83,8504
Movie_0374,Action,2001,211.14,128.19,5.0,70,1612
Movie_0375,Horror,2013,,,4.3,102,9653
Movie_0376,Horror,2020,95.92,506.17,6.7,93,328
Movie_0377,Action,2007,109.58,154.94,4.6,85,448
Movie_0378,Comedy,2007,34.98,,6.4,103,930
Movie_0379,Action,2018,62.47,178.21,6.3,112,3355
Movie_0380,Animation,2006,100.15,48.53,3.8,146,1139
Movie_0381,Romance,2018,22.13,29.83,4.8,74,8011
Movie_0382,Horror,2005,26.43,7.37,7.0,128,13909
Movie_0383,Sci-Fi,2005,214.98,,5.2,124,7327
Movie_0384,Sci-Fi,2002,53.32,18.53,5.2,89,33798
Movie_0385,Animation,2006,31.03,203.82,6.2,109,5562
Movie_0386,Drama,2018,4.6,6.07,6.5,95,480
Movie_0387,Thriller,2007,60.06,74.18,5.4,108,23041
Movie_0388,Action,2009,,25.41,4.9,135,1202
Movie_0389,Action,2019,14.29,22.01,7.3,117,11679
Movie_0390,Drama,2014,27.29,,7.7,115,31590
Movie_0391,Drama,2014,146.96,31.25,,96,5913
Movie_0392,Animation,2000,89.56,462.96,6.0,75,316
Movie_0393,Animation,2019,176.02,343.19,5.2,100,751
Movie_0394,Drama,2006,21.35,9.09,4.6,129,21679
Movie_0395,Horror,2003,,8.95,6.2,74,2313
Movie_0396,Animation,2005,187.74,1575.08,6.8,83,3358
Movie_0397,Romance,2000,,16.89,7.3,107,9304
Movie_0398,Animation,2004,111.47,72.97,6.7,85,8471
Movie_0399,Action,2022,103.48,,4.1,89,4528
Movie_0400,Animation,2000,52.74,137.05,7.0,96,2179
Movie_0401,Horror,2003,33.17,17.38,4.4,77,1864
Movie_0402,Drama,2021,17.39,29.66,5.1,85,10795
Movie_0403,Action,2001,43.7,28.51,6.0,119,6838
Movie_0404,Animation,2009,138.24,864.28,8.4,78,2026
Movie_0405,Horror,2004,,48.36,9.3,73,15110
Movie_0406,Romance,2009,25.57,71.8,6.3,92,2456
Movie_0407,Animation,2000,89.35,191.66,5.6,119,830
Movie_0408,Horror,2021,35.76,,6.3,101,954
Movie_0409,Romance,2005,36.55,67.38,6.7,95,686
Movie_0410,Drama,2012,19.6,9.66,5.2,105,1981
Movie_0411,Animation,2014,173.13,595.06,8.3,70,18969
Movie_0412,Romance,2003,76.02,830.28,6.1,114,891
Movie_0413,Action,2012,125.0,90.91,6.6,112,3954
Movie_0414,Drama,2023,20.17,25.54,6.4,96,1113
Movie_0415,Action,2019,28.01,68.5,6.1,125,2017
Movie_0416,Sci-Fi,2023,42.65,74.55,6.7,82,309
Movie_0417,Comedy,2014,23.5,12.95,4.9,127,2141
Movie_0418,Animation,2007,55.27,210.55,5.1,108,2229
Movie_0419,Romance,2004,21.53,203.62,4.3,98,6703
Movie_0420,Comedy,2014,31.39,,6.2,104,4166
Movie_0421,Comedy,2003,45.83,36.94,6.6,102,493
Movie_0422,Romance,2011,23.63,9.9,6.1,129,15158
Movie_0423,Drama,2012,29.52,78.03,7.6,83,4086
Movie_0424,Animation,2001,94.76,412.97,5.9,89,4014
Movie_0425,Sci-Fi,2018,20.59,55.4,6.4,125,2940
Movie_0426,Action,2018,37.73,44.91,,93,1371
Movie_0427,Horror,2003,13.37,11.0,5.1,123,4132
Movie_0428,Action,2003,30.39,20.18,6.5,138,6083
Movie_0429,Horror,2010,24.24,93.41,6.6,96,216
Movie_0430,Action,2004,,1061.7,6.2,118,1328
Movie_0431,Romance,2019,66.28,25.73,5.7,81,2033
Movie_0432,Sci-Fi,2010,84.3,389.06,4.0,120,4377
Movie_0433,Animation,2009,296.6,855.04,,108,17853
Movie_0434,Horror,2007,16.89,108.57,6.6,114,936
Movie_0435,Animation,2005,68.73,36.48,6.5,92,1412
Movie_0436,Animation,2005,55.1,27.99,6.3,71,1381
Movie_0437,Animation,2007,70.66,99.2,5.8,115,895
Movie_0438,Thriller,2022,29.32,71.27,5.6,70,1770
Movie_0439,Drama,2014,,152.25,4.8,98,9473
Movie_0440,Action,2013,,316.29,6.7,123,613
Movie_0441,Animation,2010,90.22,126.86,6.4,108,5663
Movie_0442,Action,2011,113.47,81.02,6.5,143,232
Movie_0443,Animation,2012,233.3,1125.25,5.8,125,1284
Movie_0444,Horror,2007,32.06,11.26,,91,1818
Movie_0445,Drama,2017,6.1,49.63,6.8,105,36764
Movie_0446,Drama,2000,2.59,2.72,4.9,104,1973
Movie_0447,Romance,2014,52.79,,4.7,73,109
Movie_0448,Thriller,2007,13.4,43.32,6.4,86,148
Movie_0449,Romance,2010,20.89,25.94,5.1,93,3137
Movie_0450,Romance,2011,9.8,11.5,6.8,70,7484
Movie_0451,Romance,2011,5.91,7.49,6.3,105,5235
